# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
p3d65_1000_hlg_rec2100,28.41841,24.344778,37.99694,0.9672066,0.9645738,0.9726167
p3d65_1000_hlg_rec2100,0.6612502,0.682678,0.09478852,0.5958102,0.5863432,0.21238993
p3d65_1000_hlg_rec2100,59.221184,61.5654,59.030956,0.98538595,0.9857771,0.98542297
p3d65_1000_hlg_rec2100,0.00017070514,0.001229348,0.0015458196,0.0016531431,0.003219593,0.0034877623
p3d65_1000_hlg_rec2100,45.84187,9.971024,82.71785,0.9885925,0.91910505,1.0093784
p3d65_1000_hlg_rec2100,0.021122947,0.0024990516,0.014078625,0.06210391,0.015923744,0.044674948
p3d65_1000_hlg_rec2100,0.002844924,0.00661045,0.0061173006,0.011186911,0.022383098,0.020881427
p3d65_1000_hlg_rec2100,0.00051750906,0.0014351306,0.0008430994,0.0018981231,0.003926738,0.002824457
p3d65_1000_hlg_rec2100,0.022847129,0.20706503,0.14117625,0.15130423,0.30774054,0.2563519
p3d65_1000_hlg_rec2100,6.3162236,4.270521,4.5560303,0.8894909,0.85277015,0.85884064
p3d65_1000_hlg_rec2100,0.16540092,0.2519093,0.06328633,0.2794443,0.3724893,0.15301795
p3d65_1000_hlg_rec2100,0.12459811,0.20032758,0.0003521437,0.25141528,0.32711896,0.04344132
p3d65_1000_hlg_rec2100,0.017277788,0.2918255,0.04677635,0.17693487,0.37576294,0.19010067
rec709d60_100_srgb,0.0,0.0,0.0,0.0,0.0,0.0
