# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# inverse of aces2_ocio_display_encoding.csv (display code values -> ACES2065-1)
# columns: preset,cv_r,cv_g,cv_b,r_ap0,g_ap0,b_ap0
rec709d60_100_srgb,0.99571294,0.9736082,0.9385145,59.251965,61.477646,59.114723
rec709d60_100_srgb,0.0,5.3337368e-05,5.167219e-05,0.000507907,0.001193526,0.0014351726
rec709d60_100_srgb,1.0000067,0.9450967,0.9425037,28.227493,12.818069,41.02944
rec709d60_100_srgb,0.03505145,0.0,0.012526962,0.020340031,0.0032232238,0.013750754
rec709d60_100_srgb,1.910676e-05,0.0026380445,0.0020429972,0.002844926,0.006610456,0.006117311
rec709d60_100_srgb,4.50614e-07,7.716562e-05,4.0804905e-05,0.00051750924,0.0014351326,0.0008430999
rec709d60_100_srgb,0.0,0.36672503,0.2923165,0.07259558,0.20092197,0.14356646
rec709d60_100_srgb,0.95791644,0.88552743,0.8618138,6.3162966,4.2707453,4.556488
rec709d60_100_srgb,0.27296114,0.43803906,0.11343107,0.16540259,0.251911,0.06328689
rec709d60_100_srgb,0.28562647,0.3849776,0.0,0.12949617,0.20022748,0.00832017
rec709d60_100_srgb,0.0,0.44896746,0.23389265,0.07852466,0.28319812,0.06343267
p3d60_1000_pq_rec2100,7.309427e-07,7.309427e-07,7.309427e-07,1.6439277e-06,1.6625097e-06,1.778793e-06
p3d60_1000_pq_rec2100,0.060681164,0.06000017,0.058087703,0.010000006,0.010000011,0.010000008
p3d60_1000_pq_rec2100,0.44129118,0.43876967,0.43159634,0.5000001,0.50000054,0.5000005
p3d60_1000_pq_rec2100,0.6839182,0.68105227,0.67287105,8.000036,8.000025,7.9999585
p3d60_1000_pq_rec2100,0.17042196,0.059395954,0.023981005,0.043092094,0.009063336,0.0022408194
p3d60_1000_pq_rec2100,0.10832246,0.17557779,0.16726853,0.02536677,0.04503093,0.04391763
p3d60_1000_pq_rec2100,0.45193356,0.22222067,0.14844412,0.4670943,0.06255099,0.010842982
p3d60_1000_pq_rec2100,0.3108351,0.43253466,0.41910854,0.20617454,0.4863001,0.47390586
p3d60_1000_pq_rec2100,0.5339995,0.2810962,0.19971053,0.96243626,0.10255748,0.0120994635
p3d60_1000_pq_rec2100,0.3769377,0.50865746,0.49444452,0.3891307,0.98824924,0.9632445
p3d60_1000_pq_rec2100,0.72390825,0.49242228,0.4100132,7.189564,0.777908,0.12586538
p3d60_1000_pq_rec2100,0.5581777,0.70575,0.6904551,3.393313,10.120448,9.866953
p3d60_1000_pq_rec2100,0.72831696,0.7239341,0.7203988,28.418749,24.345037,37.997375
p3d60_1000_pq_rec2100,0.48695043,0.47971272,0.28734937,0.661251,0.6826784,0.09478857
p3d60_1000_pq_rec2100,0.74144036,0.7387768,0.73031384,59.222984,61.565422,59.03232
p3d60_1000_pq_rec2100,0.0021434308,0.0046780766,0.0049148174,0.0006242673,0.0011719839,0.0013944873
p3d60_1000_pq_rec2100,0.73808295,0.6954018,0.739829,34.463634,10.3450575,56.062473
p3d60_1000_pq_rec2100,0.09291488,0.028305974,0.06913343,0.019293826,0.00463189,0.0131052295
p3d60_1000_pq_rec2100,0.01796434,0.035639126,0.032153543,0.0033682957,0.0064043975,0.005900781
p3d60_1000_pq_rec2100,0.002500934,0.00579234,0.0038177858,0.00060749333,0.0014066955,0.00082102296
p3d60_1000_pq_rec2100,0.22418836,0.3315648,0.2948553,0.08418739,0.19136253,0.14075184
p3d60_1000_pq_rec2100,0.6705609,0.6471136,0.6424489,6.3162284,4.2705336,4.556043
p3d60_1000_pq_rec2100,0.32480103,0.37014768,0.22530712,0.1654012,0.2519094,0.06328635
p3d60_1000_pq_rec2100,0.30352634,0.3427943,0.09671026,0.12859343,0.1978548,0.0139569035
