# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20
# columns: peak_nits,limiting_primaries,r,g,b,r_out,g_out,b_out
# output is display-linear in the limiting primaries, 1.0 = 100 cd/m^2
4000.0,rec2020,8.0,8.0,8.0,10.48838,10.488373,10.488376
4000.0,rec2020,32.0,32.0,32.0,24.497402,24.497387,24.49739
4000.0,rec2020,100.0,100.0,100.0,33.931942,33.931915,33.931923
4000.0,rec2020,0.05,0.0,0.0,0.0146964425,8.902519e-05,0.00033560046
4000.0,rec2020,0.05,0.05,0.0,0.029822443,0.027037121,-0.0004986091
4000.0,rec2020,0.0,0.05,0.0,-0.0006790472,0.015442746,0.0007641277
4000.0,rec2020,0.0,0.05,0.05,-0.0016552553,0.014114707,0.013185161
4000.0,rec2020,0.0,0.0,0.05,-1.9427855e-06,-4.9782926e-07,6.9931916e-06
4000.0,rec2020,0.05,0.0,0.05,0.013506045,-0.00034043714,0.010710778
4000.0,rec2020,0.5,0.0,0.0,0.64846385,-0.0069961017,0.010000645
4000.0,rec2020,0.5,0.5,0.0,0.73717153,0.66627645,-0.014646218
4000.0,rec2020,0.0,0.5,0.0,-0.05674575,0.55806875,0.012258971
4000.0,rec2020,0.0,0.5,0.5,-0.10075301,0.48834348,0.45469573
4000.0,rec2020,0.0,0.0,0.5,-4.485648e-05,1.9916873e-05,0.0001011208
4000.0,rec2020,0.5,0.0,0.5,0.54988533,-0.0327595,0.43666807
4000.0,rec2020,1.0,0.0,0.0,1.5929666,-0.032620266,0.018548729
4000.0,rec2020,1.0,1.0,0.0,1.6456288,1.4857771,-0.03413435
4000.0,rec2020,0.0,1.0,0.0,-0.1763758,1.3324777,0.012205318
4000.0,rec2020,0.0,1.0,1.0,-0.29338744,1.1593606,1.0779341
4000.0,rec2020,0.0,0.0,1.0,-0.00010890577,8.798764e-05,0.00026864719
4000.0,rec2020,1.0,0.0,1.0,1.3379668,-0.10558235,1.0644675
4000.0,rec2020,10.0,0.0,0.0,21.538002,-1.0540924,0.06052348
4000.0,rec2020,10.0,10.0,0.0,15.540151,14.099303,-0.21248858
4000.0,rec2020,0.0,10.0,0.0,-3.7450979,16.583164,-0.36223724
4000.0,rec2020,0.0,10.0,10.0,-5.987817,14.36639,13.3154
4000.0,rec2020,0.0,0.0,10.0,-0.0029214523,0.008981196,0.016116124
4000.0,rec2020,10.0,0.0,10.0,17.840855,-2.5507994,14.386526
4000.0,rec2020,0.12835671,0.42425424,0.2891852,0.013105334,0.49435708,0.3058257
4000.0,rec2020,0.2179053,0.23109841,0.34486538,0.18063666,0.21876572,0.3639297
4000.0,rec2020,0.0025988314,0.008282656,0.0012659623,6.24673e-05,0.0005621149,5.152083e-05
4000.0,rec2020,0.0016947687,0.00044669004,0.0013730898,1.4029482e-05,1.5456e-06,9.268743e-06
4000.0,rec2020,7.2360888,5.3612547,6.6169443,9.629754,7.711883,8.782797
4000.0,rec2020,0.00061579206,0.0014427701,0.0016487708,1.057235e-06,1.1125724e-05,1.2400244e-05
4000.0,rec2020,0.00085590343,0.005282828,0.0067177676,-2.7447804e-05,0.00016135976,0.00019255976
4000.0,rec2020,14.227308,18.438784,4.0771413,16.957214,19.93688,9.055548
4000.0,rec2020,0.05438203,0.008477045,0.0514045,0.02139311,0.00056136685,0.016647682
4000.0,rec2020,60.60197,33.507004,88.86753,30.087225,25.662285,32.66926
4000.0,rec2020,2.780193,12.51065,22.101048,-5.812541,15.669015,28.939415
4000.0,rec2020,0.053610936,0.09035126,0.0063881534,0.03321822,0.06528594,0.0011217834
4000.0,rec2020,0.040305544,0.053870525,0.04492682,0.014825708,0.028818928,0.021113481
4000.0,rec2020,2.0856154,0.8216084,1.7603343,3.3059444,0.96642107,2.4096074
4000.0,rec2020,0.012909604,0.0018970562,0.011854765,0.0011279711,2.1152411e-05,0.00084800244
4000.0,rec2020,0.63535184,0.59443116,0.34960604,0.88110864,0.77082264,0.443193
4000.0,rec2020,0.009795946,0.0067738215,0.007262715,0.0011363904,0.0005092803,0.00061493466
4000.0,rec2020,4.9657006,7.114646,0.7187635,7.5689096,10.680442,1.5111597
4000.0,rec2020,0.020688212,0.025609445,0.006608773,0.005984287,0.0077853096,0.00086564315
4000.0,rec2020,0.002140473,0.0022664326,0.0013847284,4.1155094e-05,4.2858876e-05,2.454581e-05
4000.0,rec2020,5.7410045,6.970885,5.246352,8.120823,9.300182,7.877972
4000.0,rec2020,12.311204,5.3472,2.5092647,16.358541,8.654867,6.1601634
4000.0,rec2020,1.1829528,7.845009,5.9025946,-2.5058553,12.070585,8.19698
4000.0,rec2020,3.7690847,8.79762,2.1358516,5.356443,12.125026,4.161702
4000.0,rec2020,2.024743,0.48334378,1.9702173,3.3302495,0.28074038,2.7247071
4000.0,rec2020,4.7441,1.1557485,3.409549,8.251824,1.1492122,4.8858624
4000.0,rec2020,24.532665,24.760946,11.826119,22.453943,22.236336,17.696007
4000.0,rec2020,0.7793694,0.74921787,0.45722532,1.0994861,1.0035667,0.61151296
4000.0,rec2020,0.27376878,0.27468958,0.059621945,0.34327263,0.31502756,0.047189254
4000.0,rec2020,1.7278978,3.3542383,3.069833,1.6969852,4.8765583,4.310175
4000.0,rec2020,0.1452532,-0.04281437,0.26234332,0.039952192,-0.00392176,0.041743234
4000.0,rec2020,0.25027362,-0.03415102,0.16085279,0.15968247,-0.009989869,0.08451856
4000.0,rec2020,0.15937898,0.09650285,0.21861161,0.13919553,0.055600386,0.20001625
4000.0,rec2020,-0.02372666,0.21780685,0.13215691,-0.024862258,0.14596836,0.09349787
4000.0,rec2020,0.23191704,0.019229304,0.19946364,0.2153203,-0.0022582007,0.14932342
4000.0,rec2020,0.29208368,0.268283,0.011918582,0.38434374,0.31040996,0.003232229
4000.0,rec2020,0.19156015,0.19844612,-0.04582044,0.20985472,0.20667168,-0.014504718
4000.0,rec2020,0.18020925,0.22492863,0.26699904,0.13605331,0.22035176,0.27042317
