# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20 (inverse direction)
# columns: peak_nits,limiting_primaries,r_display,g_display,b_display,r_ap0,g_ap0,b_ap0
# inputs are the forward outputs of aces2_ocio_output_transform.csv
1000.0,rec2020,8.335223,8.3352165,8.335219,31.999647,31.99992,31.999792
1000.0,rec2020,9.484495,9.484489,9.484491,99.998695,100.00005,99.99905
1000.0,rec2020,0.012613889,-7.648828e-05,0.00021886919,0.04999997,3.659625e-08,9.988747e-09
1000.0,rec2020,0.025401967,0.022989532,-0.00048765223,0.049999993,0.05000006,-2.3117424e-09
1000.0,rec2020,-0.0009724253,0.013267451,0.00046340053,-2.8613583e-08,0.05000009,-7.833791e-09
1000.0,rec2020,-0.0019110875,0.012110699,0.011295749,5.4842083e-08,0.05000002,0.050000027
1000.0,rec2020,-1.8910455e-06,-5.7491854e-07,7.0991177e-06,4.5093436e-09,-8.074371e-09,0.05000043
1000.0,rec2020,0.0116056455,-0.0005256716,0.009208478,0.049999982,4.054478e-08,0.04999995
1000.0,rec2020,0.57009566,-0.010573326,0.0070004435,0.49999982,2.4932962e-07,4.1485837e-08
1000.0,rec2020,0.62035334,0.5605151,-0.0128334295,0.5000001,0.5000002,4.6278604e-08
1000.0,rec2020,-0.059296954,0.4870318,0.0064409547,-5.3673034e-08,0.5000003,1.5614283e-08
1000.0,rec2020,-0.10105679,0.42561963,0.3958921,5.3186824e-07,0.49999973,0.5000008
