# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMPRESS_20
# columns: peak_nits,limiting_primaries,J,M,h,J_out,M_out,h_out
1000.0,rec2020,0.74086094,0.2698348,108.72589,0.7408609,0.2698348,108.72589
1000.0,rec2020,203.6388,9.49658,151.48792,203.63881,9.49658,151.48792
1000.0,rec2020,214.94305,46.782776,29.440594,214.94307,46.782776,29.440594
1000.0,rec2020,189.6186,175.8016,182.86198,188.45952,134.76382,182.86198
1000.0,rec2020,203.66982,65.445244,149.11057,203.66982,65.445244,149.11057
1000.0,rec2020,110.62139,116.6544,345.49277,110.621414,116.6544,345.49277
1000.0,rec2020,156.23007,130.02501,352.8672,156.23007,130.02501,352.8672
1000.0,rec2020,254.90007,8.172699,97.63913,254.90004,8.172699,97.63913
1000.0,rec2020,89.63782,14.006557,85.05584,89.63782,14.006557,85.05584
1000.0,rec2020,51.22032,28.042915,98.45711,51.220318,28.042915,98.45711
1000.0,rec2020,155.22597,50.7995,185.94801,155.22597,50.7995,185.94801
1000.0,rec2020,13.433496,30.58215,341.19208,13.433496,30.58215,341.19208
1000.0,rec2020,23.933342,54.841873,352.1386,23.933342,54.841873,352.1386
1000.0,rec2020,32.482597,21.977459,325.2071,32.482597,21.977459,325.2071
1000.0,rec2020,29.275623,36.527893,181.26607,29.275623,36.527893,181.26607
1000.0,rec2020,29.732994,53.180607,348.3731,29.732994,53.180607,348.3731
1000.0,rec2020,51.313942,39.770702,94.72156,51.313942,39.770702,94.72156
1000.0,rec2020,40.45101,52.612236,106.98563,40.451015,52.612236,106.98563
1000.0,rec2020,44.321957,11.19806,212.5545,44.321957,11.19806,212.5545
